,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7602127584441266,0.8632468174514892,0.3918918918918919 ,0.527027027027027
1,1,0.8110098080759928,0.7596359932552925,0.4864864864864865 ,0.4864864864864865
2,2,0.8177685302893869,0.8419459231597719,0.4864864864864865 ,0.4864864864864865
3,3,0.8446978565248864,0.8219632263361406,0.5540540540540541 ,0.4864864864864865
4,4,0.8014841887811854,0.7995054248989176,0.45945945945945943,0.527027027027027
5,5,0.7719348217596271,0.757147822977912 ,0.4054054054054054 ,0.43243243243243246
6,6,0.8098285352331513,0.7969767775482458,0.4864864864864865 ,0.5
7,7,0.7770924042587002,0.8162038287691791,0.41891891891891897,0.5540540540540541
8,8,0.6923371868213359,0.7505691509084167,0.3648648648648649 ,0.4864864864864865
9,9,0.8004959213941417,0.85710657344139  ,0.472972972972973  ,0.5675675675675675
